"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6305","Click Button to see alert","","Thu Apr 23 21:36:16 UTC 2026","passed","Thu Apr 23 21:36:22 UTC 2026","","tests.demoqa.tests.alertsFrameWindows.AlertsTest","tests.demoqa.tests.alertsFrameWindows.AlertsTest","alertSimpleTest"
"Get books
Check that fields not null","1306","Get all books","","Thu Apr 23 21:35:37 UTC 2026","passed","Thu Apr 23 21:35:38 UTC 2026","","tests.demoqa.tests.bookStoreApplication.GetBooksTest","tests.demoqa.tests.bookStoreApplication.GetBooksTest","getBooksTest"
"","7154","Drag element inside container and check [1]","","Thu Apr 23 21:36:15 UTC 2026","passed","Thu Apr 23 21:36:22 UTC 2026","","tests.demoqa.tests.interactions.DraggableTest","tests.demoqa.tests.interactions.DraggableTest","containerRestrictedContainerTest"
"","8148","Fill wrong mobile number","","Thu Apr 23 21:35:58 UTC 2026","passed","Thu Apr 23 21:36:06 UTC 2026","","tests.demoqa.tests.forms.PracticeFormTest","tests.demoqa.tests.forms.PracticeFormTest","wrongMobileNumberTest"
"","40458","Filling out the form correctly","","Thu Apr 23 21:35:05 UTC 2026","passed","Thu Apr 23 21:35:45 UTC 2026","","tests.demoqa.tests.elements.TextBoxTest","tests.demoqa.tests.elements.TextBoxTest","fillFullFormTest"
"","4048","Select one","","Thu Apr 23 21:36:01 UTC 2026","passed","Thu Apr 23 21:36:05 UTC 2026","","tests.demoqa.tests.widgets.SelectMenuTest","tests.demoqa.tests.widgets.SelectMenuTest","selectOneTest"
"","1311","Edit data","","Thu Apr 23 21:37:22 UTC 2026","passed","Thu Apr 23 21:37:24 UTC 2026","","tests.demoqa.tests.elements.WebTablesTest","tests.demoqa.tests.elements.WebTablesTest","editButtonTest"
"","4225","Resize without limits [1]","","Thu Apr 23 21:36:32 UTC 2026","passed","Thu Apr 23 21:36:36 UTC 2026","","tests.demoqa.tests.interactions.ResizableTest","tests.demoqa.tests.interactions.ResizableTest","resizableTest"
"","33149","Move element in grid and check sortable [1]","","Thu Apr 23 21:35:03 UTC 2026","passed","Thu Apr 23 21:35:36 UTC 2026","","tests.demoqa.tests.interactions.SortableTest","tests.demoqa.tests.interactions.SortableTest","gridTest"
"","2040","Standard multi select","","Thu Apr 23 21:36:05 UTC 2026","passed","Thu Apr 23 21:36:07 UTC 2026","","tests.demoqa.tests.widgets.SelectMenuTest","tests.demoqa.tests.widgets.SelectMenuTest","standardMultiSelectTest"
"","1509","Delete data","","Thu Apr 23 21:37:14 UTC 2026","passed","Thu Apr 23 21:37:16 UTC 2026","","tests.demoqa.tests.elements.WebTablesTest","tests.demoqa.tests.elements.WebTablesTest","deleteButtonTest"
"","31205","Verify text inside parent and child frames","","Thu Apr 23 21:35:04 UTC 2026","passed","Thu Apr 23 21:35:35 UTC 2026","","tests.demoqa.tests.alertsFrameWindows.NestedFramesTest","tests.demoqa.tests.alertsFrameWindows.NestedFramesTest","nestedFrameTest"
"Register new user without password
Check error 'Missing password'","2116","Unsuccessful register [1]","","Thu Apr 23 21:35:18 UTC 2026","passed","Thu Apr 23 21:35:20 UTC 2026","","tests.reqres.tests.RegisterUserTest","tests.reqres.tests.RegisterUserTest","unsuccessfulRegisterTest"
"Get user by id '666'
Check that status code 404","607","Get non-existent user [1]","","Thu Apr 23 21:35:30 UTC 2026","passed","Thu Apr 23 21:35:31 UTC 2026","","tests.reqres.tests.SingleUserTest","tests.reqres.tests.SingleUserTest","getUnrealUserTest"
"","28047","Verify text after right click","","Thu Apr 23 21:35:04 UTC 2026","passed","Thu Apr 23 21:35:33 UTC 2026","","tests.demoqa.tests.elements.ButtonsTest","tests.demoqa.tests.elements.ButtonsTest","rightClickTest"
"","25614","Drag 'acceptable' and 'not...' element to the drop [1]","","Thu Apr 23 21:35:36 UTC 2026","passed","Thu Apr 23 21:36:02 UTC 2026","","tests.demoqa.tests.interactions.DroppableTest","tests.demoqa.tests.interactions.DroppableTest","acceptTest"
"","0","Valid image has non-zero width","","Thu Apr 23 21:36:12 UTC 2026","skipped","Thu Apr 23 21:36:12 UTC 2026","","tests.demoqa.tests.elements.BrokenLinksTest","tests.demoqa.tests.elements.BrokenLinksTest","validImageTest"
"","10517","Button changes color after 5 seconds [1]","","Thu Apr 23 21:35:41 UTC 2026","passed","Thu Apr 23 21:35:51 UTC 2026","","tests.demoqa.tests.elements.DynamicPropertiesTest","tests.demoqa.tests.elements.DynamicPropertiesTest","changeColorButtonTest"
"","28334","Drag element and check [1]","","Thu Apr 23 21:35:03 UTC 2026","passed","Thu Apr 23 21:35:31 UTC 2026","","tests.demoqa.tests.interactions.DraggableTest","tests.demoqa.tests.interactions.DraggableTest","simpleTest"
"","704","Search non-existent record","","Thu Apr 23 21:37:22 UTC 2026","passed","Thu Apr 23 21:37:22 UTC 2026","","tests.demoqa.tests.elements.WebTablesTest","tests.demoqa.tests.elements.WebTablesTest","wrongSearchTest"
"Select default book
Send book
Check that response matches default book","1222","Get single book","","Thu Apr 23 21:35:34 UTC 2026","passed","Thu Apr 23 21:35:35 UTC 2026","","tests.demoqa.tests.bookStoreApplication.GetBookTest","tests.demoqa.tests.bookStoreApplication.GetBookTest","getBookTest"
"Create new user
Register
Check that response matches username
Delete user","2393","Successful register","","Thu Apr 23 21:35:12 UTC 2026","passed","Thu Apr 23 21:35:14 UTC 2026","","tests.demoqa.tests.bookStoreApplication.RegisterUserTest","tests.demoqa.tests.bookStoreApplication.RegisterUserTest","successRegisterTest"
"","7964","Verify text after simple click","","Thu Apr 23 21:35:45 UTC 2026","passed","Thu Apr 23 21:35:53 UTC 2026","","tests.demoqa.tests.elements.ButtonsTest","tests.demoqa.tests.elements.ButtonsTest","clickMeTest"
"","50860","Fill text instead of numbers","","Thu Apr 23 21:35:04 UTC 2026","passed","Thu Apr 23 21:35:55 UTC 2026","","tests.demoqa.tests.elements.WebTablesTest","tests.demoqa.tests.elements.WebTablesTest","notDigitTest"
"Create new user
Login
Get user books
Check booklist is empty
Delete user","6519","Get user's book list","","Thu Apr 23 21:35:20 UTC 2026","passed","Thu Apr 23 21:35:27 UTC 2026","","tests.demoqa.tests.bookStoreApplication.GetUsersBooksTest","tests.demoqa.tests.bookStoreApplication.GetUsersBooksTest","getUsersBooksTest"
"","5770","Select date","","Thu Apr 23 21:36:07 UTC 2026","passed","Thu Apr 23 21:36:12 UTC 2026","","tests.demoqa.tests.widgets.DatePickerTest","tests.demoqa.tests.widgets.DatePickerTest","selectDateTest"
"","13902","Open new window","","Thu Apr 23 21:35:58 UTC 2026","passed","Thu Apr 23 21:36:12 UTC 2026","","tests.demoqa.tests.alertsFrameWindows.BrowserWindowsTest","tests.demoqa.tests.alertsFrameWindows.BrowserWindowsTest","newWindowButtonTest"
"","42999","Check single fill","","Thu Apr 23 21:35:01 UTC 2026","passed","Thu Apr 23 21:35:44 UTC 2026","","tests.demoqa.tests.widgets.AutoCompleteTest","tests.demoqa.tests.widgets.AutoCompleteTest","singleTypeTest"
"Get resources
Check that fields not null","1604","Check not null [1]","","Thu Apr 23 21:35:15 UTC 2026","passed","Thu Apr 23 21:35:16 UTC 2026","","tests.reqres.tests.ListResourcesTest","tests.reqres.tests.ListResourcesTest","notNullTest"
"Create new user
Login
Delete user","4093","Delete user","","Thu Apr 23 21:35:41 UTC 2026","passed","Thu Apr 23 21:35:45 UTC 2026","","tests.demoqa.tests.bookStoreApplication.DeleteUserTest","tests.demoqa.tests.bookStoreApplication.DeleteUserTest","successDeleteUserTest"
"","3811","Check redirect to main page via dynamic link","","Thu Apr 23 21:36:29 UTC 2026","passed","Thu Apr 23 21:36:32 UTC 2026","","tests.demoqa.tests.elements.LinksTest","tests.demoqa.tests.elements.LinksTest","dynamicLinkTest"
"","33140","Drag element to the drop [1]","","Thu Apr 23 21:35:03 UTC 2026","passed","Thu Apr 23 21:35:36 UTC 2026","","tests.demoqa.tests.interactions.DroppableTest","tests.demoqa.tests.interactions.DroppableTest","simpleTest"
"","23084","On button click, confirm box will appear. Set accept","","Thu Apr 23 21:35:37 UTC 2026","passed","Thu Apr 23 21:36:00 UTC 2026","","tests.demoqa.tests.alertsFrameWindows.AlertsTest","tests.demoqa.tests.alertsFrameWindows.AlertsTest","confirmButtonAcceptTest"
"","22964","Move slider and check","","Thu Apr 23 21:35:03 UTC 2026","passed","Thu Apr 23 21:35:26 UTC 2026","","tests.demoqa.tests.widgets.SliderTest","tests.demoqa.tests.widgets.SliderTest","sliderTest"
"","33985","Check accordion subitems","","Thu Apr 23 21:35:02 UTC 2026","passed","Thu Apr 23 21:35:36 UTC 2026","","tests.demoqa.tests.widgets.AccordionTest","tests.demoqa.tests.widgets.AccordionTest","accordionTest"
"","37122","Verify text inside the small modal dialog","","Thu Apr 23 21:35:04 UTC 2026","passed","Thu Apr 23 21:35:41 UTC 2026","","tests.demoqa.tests.alertsFrameWindows.ModalDialogsTest","tests.demoqa.tests.alertsFrameWindows.ModalDialogsTest","smallModalTest"
"","19052","Open new tab","","Thu Apr 23 21:35:39 UTC 2026","passed","Thu Apr 23 21:35:58 UTC 2026","","tests.demoqa.tests.alertsFrameWindows.BrowserWindowsTest","tests.demoqa.tests.alertsFrameWindows.BrowserWindowsTest","newTabButtonTest"
"","22862","Check 'impressive' button","","Thu Apr 23 21:35:05 UTC 2026","passed","Thu Apr 23 21:35:28 UTC 2026","","tests.demoqa.tests.elements.RadioButtonTest","tests.demoqa.tests.elements.RadioButtonTest","tapImpressiveTest"
"Get users
Get root
Check that the quantity matches","974","Check number of elements [1]","","Thu Apr 23 21:35:34 UTC 2026","passed","Thu Apr 23 21:35:35 UTC 2026","","tests.reqres.tests.ListUsersTest","tests.reqres.tests.ListUsersTest","checkNumberOfElementsTest"
"","6758","Try submit empty form","","Thu Apr 23 21:35:46 UTC 2026","passed","Thu Apr 23 21:35:52 UTC 2026","","tests.demoqa.tests.elements.TextBoxTest","tests.demoqa.tests.elements.TextBoxTest","submitEmptyFormTest"
"","40587","Hover and check text [1]","","Thu Apr 23 21:35:02 UTC 2026","passed","Thu Apr 23 21:35:43 UTC 2026","","tests.demoqa.tests.widgets.ToolTipsTest","tests.demoqa.tests.widgets.ToolTipsTest","toolTipsTest"
"","33777","Check status code 400","","Thu Apr 23 21:35:04 UTC 2026","passed","Thu Apr 23 21:35:38 UTC 2026","","tests.demoqa.tests.elements.LinksTest","tests.demoqa.tests.elements.LinksTest","badRequestLinkTest"
"","3535","Check the boundary values [3]","","Thu Apr 23 21:36:28 UTC 2026","failed","Thu Apr 23 21:36:32 UTC 2026","","tests.demoqa.tests.interactions.ResizableTest","tests.demoqa.tests.interactions.ResizableTest","resizableBoxBoundaryTest"
"Get resources
Check that sorted by date","1619","Check sorted by date [1]","","Thu Apr 23 21:35:16 UTC 2026","passed","Thu Apr 23 21:35:18 UTC 2026","","tests.reqres.tests.ListResourcesTest","tests.reqres.tests.ListResourcesTest","dateOrderTest"
"Get users
Check that emails end with 'reqres.in'","771","Check emails [1]","","Thu Apr 23 21:35:32 UTC 2026","passed","Thu Apr 23 21:35:32 UTC 2026","","tests.reqres.tests.ListUsersTest","tests.reqres.tests.ListUsersTest","checkEmailsTest"
"","29859","Check menu and all subitems","","Thu Apr 23 21:35:02 UTC 2026","passed","Thu Apr 23 21:35:32 UTC 2026","","tests.demoqa.tests.widgets.MenuTest","tests.demoqa.tests.widgets.MenuTest","menuTest"
"Create new user
Login
Check token, status, message
Delete user","4632","Successful Generate Token","","Thu Apr 23 21:35:32 UTC 2026","passed","Thu Apr 23 21:35:37 UTC 2026","","tests.demoqa.tests.bookStoreApplication.GenerateTokenTest","tests.demoqa.tests.bookStoreApplication.GenerateTokenTest","successGenerateTokenTest"
"","31116","Verify text inside the small frame","","Thu Apr 23 21:35:03 UTC 2026","passed","Thu Apr 23 21:35:35 UTC 2026","","tests.demoqa.tests.alertsFrameWindows.FramesTest","tests.demoqa.tests.alertsFrameWindows.FramesTest","secondFrameTest"
"","5932","Fill wrong email","","Thu Apr 23 21:35:52 UTC 2026","passed","Thu Apr 23 21:35:58 UTC 2026","","tests.demoqa.tests.elements.TextBoxTest","tests.demoqa.tests.elements.TextBoxTest","fillWrongEmailTest"
"","10778","Check 'yes' button","","Thu Apr 23 21:35:39 UTC 2026","passed","Thu Apr 23 21:35:49 UTC 2026","","tests.demoqa.tests.elements.RadioButtonTest","tests.demoqa.tests.elements.RadioButtonTest","tapYesTest"
"","13315","Filling out the form correctly","","Thu Apr 23 21:36:06 UTC 2026","passed","Thu Apr 23 21:36:19 UTC 2026","","tests.demoqa.tests.forms.PracticeFormTest","tests.demoqa.tests.forms.PracticeFormTest","correctFillTest"
"","12601","Download file","","Thu Apr 23 21:35:32 UTC 2026","passed","Thu Apr 23 21:35:44 UTC 2026","","tests.demoqa.tests.elements.UploadAndDownloadTest","tests.demoqa.tests.elements.UploadAndDownloadTest","downloadTest"
"","32686","On button click, prompt box will appear","","Thu Apr 23 21:35:04 UTC 2026","passed","Thu Apr 23 21:35:37 UTC 2026","","tests.demoqa.tests.alertsFrameWindows.AlertsTest","tests.demoqa.tests.alertsFrameWindows.AlertsTest","promptButtonTest"
"","12621","Verify text after double click","","Thu Apr 23 21:35:33 UTC 2026","passed","Thu Apr 23 21:35:45 UTC 2026","","tests.demoqa.tests.elements.ButtonsTest","tests.demoqa.tests.elements.ButtonsTest","doubleClickTest"
"","11020","Check status code 404","","Thu Apr 23 21:36:02 UTC 2026","passed","Thu Apr 23 21:36:13 UTC 2026","","tests.demoqa.tests.elements.LinksTest","tests.demoqa.tests.elements.LinksTest","notFoundLinkTest"
"","26947","Broken link returns 500 status code","","Thu Apr 23 21:35:31 UTC 2026","passed","Thu Apr 23 21:35:58 UTC 2026","","tests.demoqa.tests.elements.BrokenLinksTest","tests.demoqa.tests.elements.BrokenLinksTest","brokenLinkTest"
"","1864","Fill negative salary","","Thu Apr 23 21:37:12 UTC 2026","passed","Thu Apr 23 21:37:14 UTC 2026","","tests.demoqa.tests.elements.WebTablesTest","tests.demoqa.tests.elements.WebTablesTest","negativeSalaryTest"
"","21174","Multiselect drop down","","Thu Apr 23 21:35:39 UTC 2026","passed","Thu Apr 23 21:36:01 UTC 2026","","tests.demoqa.tests.widgets.SelectMenuTest","tests.demoqa.tests.widgets.SelectMenuTest","multiSelectTest"
"","77608","Navigating the table","","Thu Apr 23 21:35:55 UTC 2026","passed","Thu Apr 23 21:37:12 UTC 2026","","tests.demoqa.tests.elements.WebTablesTest","tests.demoqa.tests.elements.WebTablesTest","navigationButtonsTest"
"Get root
Check that the quantity matches","386","Check root [1]","","Thu Apr 23 21:35:31 UTC 2026","passed","Thu Apr 23 21:35:32 UTC 2026","","tests.reqres.tests.ListUsersTest","tests.reqres.tests.ListUsersTest","checkRootTest"
"Create new user
Authorized
Check that result is true
Delete user","4006","Successful authorized","","Thu Apr 23 21:35:26 UTC 2026","passed","Thu Apr 23 21:35:30 UTC 2026","","tests.demoqa.tests.bookStoreApplication.AuthorizedTest","tests.demoqa.tests.bookStoreApplication.AuthorizedTest","successAuthorizedTest"
"","24747","Verify text inside the big frame","","Thu Apr 23 21:35:35 UTC 2026","passed","Thu Apr 23 21:35:59 UTC 2026","","tests.demoqa.tests.alertsFrameWindows.FramesTest","tests.demoqa.tests.alertsFrameWindows.FramesTest","firstFrameTest"
"","7625","Resize to below minimum limit [1]","","Thu Apr 23 21:36:10 UTC 2026","passed","Thu Apr 23 21:36:17 UTC 2026","","tests.demoqa.tests.interactions.ResizableTest","tests.demoqa.tests.interactions.ResizableTest","resizableBoxBelowMinimumTest"
"","39601","Select value","","Thu Apr 23 21:35:00 UTC 2026","passed","Thu Apr 23 21:35:39 UTC 2026","","tests.demoqa.tests.widgets.SelectMenuTest","tests.demoqa.tests.widgets.SelectMenuTest","selectValueTest"
"","6068","Select all sub-items","","Thu Apr 23 21:35:55 UTC 2026","passed","Thu Apr 23 21:36:01 UTC 2026","","tests.demoqa.tests.elements.CheckBoxTest","tests.demoqa.tests.elements.CheckBoxTest","selectAllTest"
"Get users
Check that avatar and id are equal","1071","Check avatar and id [1]","","Thu Apr 23 21:35:33 UTC 2026","passed","Thu Apr 23 21:35:34 UTC 2026","","tests.reqres.tests.ListUsersTest","tests.reqres.tests.ListUsersTest","checkAvatarAndIdTest"
"","6254","Check status code 204","","Thu Apr 23 21:36:13 UTC 2026","passed","Thu Apr 23 21:36:19 UTC 2026","","tests.demoqa.tests.elements.LinksTest","tests.demoqa.tests.elements.LinksTest","noContentLinkTest"
"","12274","Select element in list","","Thu Apr 23 21:35:39 UTC 2026","passed","Thu Apr 23 21:35:52 UTC 2026","","tests.demoqa.tests.interactions.SelectableTest","tests.demoqa.tests.interactions.SelectableTest","listTest"
"Get user by id '2'
Check that user is real","592","Get existing user [1]","","Thu Apr 23 21:35:30 UTC 2026","passed","Thu Apr 23 21:35:30 UTC 2026","","tests.reqres.tests.SingleUserTest","tests.reqres.tests.SingleUserTest","getRealUserTest"
"Create user with new data
Send
Check that data is updated","1821","Full update [1]","","Thu Apr 23 21:35:12 UTC 2026","passed","Thu Apr 23 21:35:14 UTC 2026","","tests.reqres.tests.UpdateUserTest","tests.reqres.tests.UpdateUserTest","fullUpdateTest"
"","12288","Drag element to the 'greedy' and 'not...' drop [1]","","Thu Apr 23 21:36:02 UTC 2026","passed","Thu Apr 23 21:36:14 UTC 2026","","tests.demoqa.tests.interactions.DroppableTest","tests.demoqa.tests.interactions.DroppableTest","preventPropagationTest"
"Register new user
Check token and id","2478","Successful register [1]","","Thu Apr 23 21:35:21 UTC 2026","passed","Thu Apr 23 21:35:23 UTC 2026","","tests.reqres.tests.RegisterUserTest","tests.reqres.tests.RegisterUserTest","successRegisterTest"
"","16359","On button click, alert will appear after 5 seconds","","Thu Apr 23 21:36:00 UTC 2026","passed","Thu Apr 23 21:36:16 UTC 2026","","tests.demoqa.tests.alertsFrameWindows.AlertsTest","tests.demoqa.tests.alertsFrameWindows.AlertsTest","alertFiveSecondWaitTest"
